7  26.8083	2.329138e+00	1.127530e-01	6.851159e-01	2.730509e+00	9.408088e-01	2.328891e+00	2.146430e-02	2.912084e-01	1.534070e+00	6.567158e-01	
6  28.3135	2.329138e+00	1.127530e-01	6.851159e-01	2.730509e+00	9.408088e-01	2.383114e+00	4.070634e-01	2.912084e-01	1.534070e+00	6.567158e-01	
6  25.2138	2.257747e+00	1.138578e-01	6.818901e-01	2.833564e+00	9.934078e-01	2.320135e+00	5.759031e-01	2.948107e-01	1.700596e+00	7.131716e-01	
9  26.0086	2.257747e+00	1.138578e-01	6.818901e-01	2.833564e+00	9.934078e-01	2.399273e+00	1.342715e+00	2.948107e-01	1.700596e+00	7.131716e-01	
6  25.8813	2.234273e+00	1.124221e-01	6.762193e-01	2.858165e+00	1.030595e+00	2.420891e+00	1.467029e+00	2.961232e-01	1.742952e+00	7.262014e-01	
3  23.5395	2.234273e+00	1.124221e-01	6.762193e-01	2.858165e+00	1.030595e+00	2.391695e+00	1.606269e+00	2.961232e-01	1.742952e+00	7.262014e-01	
7  23.8016	2.234273e+00	1.124221e-01	6.762193e-01	2.858165e+00	1.030595e+00	2.262602e+00	7.942257e-01	2.961232e-01	1.742952e+00	7.262014e-01	
1  22.6171	2.234273e+00	1.124221e-01	6.762193e-01	2.858165e+00	1.030595e+00	2.277500e+00	7.436801e-01	2.961232e-01	1.742952e+00	7.262014e-01	
6  23.2534	2.234273e+00	1.124221e-01	6.762193e-01	2.858165e+00	1.030595e+00	2.368622e+00	1.186856e+00	2.961232e-01	1.742952e+00	7.262014e-01	
10  22.9837	2.234273e+00	1.124221e-01	6.762193e-01	2.858165e+00	1.030595e+00	2.363536e+00	1.366764e+00	2.961232e-01	1.742952e+00	7.262014e-01	
2  24.2736	2.234273e+00	1.124221e-01	6.762193e-01	2.858165e+00	1.030595e+00	2.344064e+00	1.586127e+00	2.961232e-01	1.742952e+00	7.262014e-01	
2  25.7683	2.234273e+00	1.124221e-01	6.762193e-01	2.858165e+00	1.030595e+00	2.322973e+00	1.552717e+00	2.961232e-01	1.742952e+00	7.262014e-01	
3  24.6025	2.207848e+00	1.124152e-01	6.879787e-01	2.950086e+00	1.049604e+00	2.218314e+00	1.520836e+00	2.855137e-01	1.910759e+00	7.707984e-01	
1  24.4092	2.203186e+00	1.190134e-01	6.843503e-01	2.907165e+00	9.960346e-01	2.203767e+00	1.481053e+00	3.025384e-01	1.830483e+00	7.663481e-01	
2  23.7493	2.285600e+00	1.171153e-01	6.751011e-01	2.893637e+00	1.047114e+00	2.303059e+00	1.713322e+00	3.085285e-01	1.805887e+00	7.607003e-01	
4  24.1608	2.285600e+00	1.171153e-01	6.751011e-01	2.893637e+00	1.047114e+00	2.201403e+00	6.135313e-01	3.085285e-01	1.805887e+00	7.607003e-01	
5  22.7164	2.285600e+00	1.171153e-01	6.751011e-01	2.893637e+00	1.047114e+00	2.259326e+00	9.583907e-01	3.085285e-01	1.805887e+00	7.607003e-01	
15  22.1381	2.297554e+00	1.178796e-01	6.823432e-01	2.871309e+00	1.035627e+00	2.260805e+00	9.326377e-01	3.039125e-01	1.766012e+00	7.533779e-01	
1  25.1051	2.312107e+00	1.145913e-01	6.961882e-01	2.965333e+00	1.143263e+00	2.258526e+00	1.234809e+00	2.854607e-01	1.940116e+00	8.127030e-01	
3  25.8294	2.312107e+00	1.145913e-01	6.961882e-01	2.965333e+00	1.143263e+00	2.319206e+00	2.015536e+00	2.854607e-01	1.940116e+00	8.127030e-01	
3  26.4182	2.312107e+00	1.145913e-01	6.961882e-01	2.965333e+00	1.143263e+00	2.318592e+00	2.139255e+00	2.854607e-01	1.940116e+00	8.127030e-01	
1  24.8096	2.312107e+00	1.145913e-01	6.961882e-01	2.965333e+00	1.143263e+00	2.268440e+00	1.516459e+00	2.854607e-01	1.940116e+00	8.127030e-01	
1  24.9158	2.312107e+00	1.145913e-01	6.961882e-01	2.965333e+00	1.143263e+00	2.263721e+00	1.520263e+00	2.854607e-01	1.940116e+00	8.127030e-01	
5  22.2546	2.252344e+00	1.341480e-01	7.019420e-01	2.744663e+00	9.813981e-01	2.291407e+00	1.450015e+00	3.192782e-01	1.555937e+00	7.594235e-01	
5  22.4699	2.252344e+00	1.341480e-01	7.019420e-01	2.744663e+00	9.813981e-01	2.329079e+00	1.895075e+00	3.192782e-01	1.555937e+00	7.594235e-01	
1  22.9009	2.252344e+00	1.341480e-01	7.019420e-01	2.744663e+00	9.813981e-01	2.250266e+00	1.114912e+00	3.192782e-01	1.555937e+00	7.594235e-01	
1  22.8895	2.252344e+00	1.341480e-01	7.019420e-01	2.744663e+00	9.813981e-01	2.254858e+00	8.150088e-01	3.192782e-01	1.555937e+00	7.594235e-01	
5  22.3872	2.252344e+00	1.341480e-01	7.019420e-01	2.744663e+00	9.813981e-01	2.310448e+00	1.698076e+00	3.192782e-01	1.555937e+00	7.594235e-01	
1  22.6769	2.288788e+00	1.256044e-01	6.912662e-01	3.054293e+00	1.026177e+00	2.042043e+00	1.399966e+00	3.120994e-01	2.120619e+00	8.603815e-01	
5  22.1348	2.288788e+00	1.256044e-01	6.912662e-01	3.054293e+00	1.026177e+00	1.994353e+00	9.173611e-01	3.120994e-01	2.120619e+00	8.603815e-01	
