9  48.7072	2.799472e-01	4.839296e-02	2.001723e+00	6.280361e-01	
1  35.541	2.722412e-01	1.092198e-01	2.046606e+00	5.739392e-01	
1  24.6437	2.584495e-01	1.408662e-01	2.099885e+00	5.549257e-01	
1  24.4438	3.336805e-01	2.813768e-01	2.103832e+00	3.390984e-01	
1  11.9743	4.283061e-01	2.774179e-01	2.166373e+00	2.470715e-01	
1  11.1205	4.155004e-01	3.279619e-01	2.175956e+00	2.091248e-01	
2  11.6579	4.394061e-01	2.537069e-01	2.199308e+00	2.589662e-01	
2  10.1124	4.180624e-01	3.510114e-01	2.238609e+00	1.821507e-01	
6  10.0259	3.958310e-01	3.559676e-01	2.242033e+00	1.993514e-01	
5  9.80163	3.369570e-01	2.615952e-01	2.290036e+00	3.515539e-01	
7  8.59159	3.634768e-01	2.323702e-01	2.285603e+00	3.543556e-01	
2  8.4956	3.519015e-01	2.459021e-01	2.285805e+00	3.523945e-01	
2  7.09661	3.117016e-01	2.405649e-01	2.243838e+00	3.988443e-01	
5  4.26859	3.459413e-01	2.004122e-01	2.249688e+00	4.046301e-01	
6  2.98841	2.851144e-01	1.344578e-01	2.238984e+00	5.316442e-01	
14  3.32989	2.788609e-01	1.178100e-01	2.202209e+00	5.553453e-01	
1  4.11887	2.391225e-01	5.033313e-02	2.218006e+00	6.622170e-01	
6  3.74414	2.915372e-01	4.442957e-02	2.176826e+00	6.166014e-01	
4  3.85681	3.082176e-01	4.263975e-02	2.189364e+00	6.014381e-01	
10  2.63106	2.902247e-01	5.045012e-02	2.191443e+00	6.115755e-01	
4  2.18585	2.589715e-01	3.228265e-02	2.215604e+00	6.604707e-01	
11  1.83114	2.769764e-01	4.017436e-02	2.219557e+00	6.344881e-01	
5  3.0261	3.282204e-01	1.165053e-01	2.194966e+00	5.074480e-01	
7  4.16899	2.927886e-01	1.530799e-01	2.197223e+00	5.062561e-01	
7  5.82226	3.708443e-01	1.830718e-01	2.184516e+00	3.984848e-01	
1  4.24804	2.768120e-01	1.439946e-01	2.220223e+00	5.308178e-01	
1  2.09611	2.992189e-01	7.981914e-02	2.239785e+00	5.721609e-01	
12  2.38299	3.133241e-01	1.495516e-01	2.213151e+00	4.889025e-01	
8  2.93889	2.781876e-01	8.103698e-03	2.205811e+00	6.656466e-01	
1  2.43204	2.672144e-01	1.263545e-02	2.228602e+00	6.715923e-01	
5  3.43195	3.112019e-01	1.321439e-01	2.261514e+00	5.073806e-01	
# After 31 accepted steps: update proposal with max(R-1) = 0.450056 and jumping factor = 2.400000 
3  3.88338	2.817363e-01	5.196133e-02	2.267586e+00	6.168967e-01	
2  2.13562	3.080867e-01	1.155898e-01	2.240590e+00	5.275050e-01	
1  1.63095	2.830712e-01	7.715338e-02	2.228662e+00	5.912163e-01	
1  2.03546	2.614722e-01	4.282224e-02	2.225175e+00	6.472223e-01	
6  3.07413	2.817966e-01	1.293963e-01	2.216172e+00	5.405195e-01	
3  3.30402	2.835769e-01	1.211251e-01	2.198459e+00	5.473957e-01	
2  5.29212	3.564576e-01	2.048858e-01	2.183953e+00	3.910698e-01	
1  4.32474	3.573161e-01	1.902723e-01	2.197476e+00	4.045307e-01	
1  3.45034	3.374334e-01	1.998105e-01	2.224305e+00	4.142917e-01	
2  2.69648	3.296137e-01	1.496962e-01	2.205045e+00	4.726445e-01	
2  2.37706	3.118856e-01	1.533788e-01	2.223107e+00	4.862973e-01	
3  2.17021	3.076814e-01	1.420510e-01	2.221921e+00	5.018551e-01	
1  1.90133	2.711678e-01	6.925400e-02	2.217386e+00	6.112643e-01	
2  1.87353	2.949220e-01	1.120847e-01	2.214581e+00	5.447403e-01	
1  2.89763	3.215045e-01	1.376342e-01	2.193759e+00	4.930612e-01	
4  2.40017	2.766168e-01	1.053237e-01	2.221829e+00	5.696490e-01	
3  2.91876	2.718419e-01	8.027247e-02	2.256531e+00	5.987204e-01	
2  4.35337	3.236615e-01	2.099691e-01	2.243123e+00	4.174958e-01	
1  4.14809	3.614662e-01	1.952350e-01	2.225885e+00	3.948001e-01	
1  2.98674	3.328246e-01	1.321048e-01	2.237993e+00	4.863085e-01	
1  2.20122	2.897757e-01	5.778882e-02	2.240607e+00	6.036165e-01	
1  2.96269	3.027917e-01	9.838268e-02	2.257267e+00	5.496444e-01	
3  4.78516	2.633076e-01	-7.939908e-03	2.260418e+00	6.953825e-01	
2  4.63544	2.493756e-01	-2.320380e-02	2.253771e+00	7.247230e-01	
1  1.69982	2.955467e-01	8.852477e-02	2.232060e+00	5.672955e-01	
1  2.18402	2.694243e-01	8.052869e-02	2.233938e+00	6.013731e-01	
3  3.2406	2.830646e-01	1.275850e-01	2.250937e+00	5.403069e-01	
3  3.28799	2.537223e-01	6.108070e-02	2.250626e+00	6.361602e-01	
1  3.90664	2.370915e-01	-2.716245e-02	2.231751e+00	7.414447e-01	
1  4.05095	2.407481e-01	-1.850396e-02	2.246479e+00	7.288092e-01	
4  4.41733	2.416075e-01	-3.695230e-02	2.238363e+00	7.465746e-01	
12  1.98007	2.808655e-01	8.434917e-02	2.240947e+00	5.859590e-01	
3  1.7777	2.724226e-01	4.526939e-02	2.218387e+00	6.339723e-01	
2  2.82898	3.332015e-01	1.228210e-01	2.226954e+00	4.954555e-01	
5  5.06461	3.461396e-01	1.701858e-01	2.263237e+00	4.343635e-01	
4  4.44533	3.270283e-01	9.181291e-02	2.254194e+00	5.320443e-01	
1  3.49879	3.328973e-01	9.184699e-02	2.209345e+00	5.271166e-01	
5  3.00931	3.177551e-01	8.653357e-02	2.192528e+00	5.479380e-01	
